Industry,Job_Title,Annual_Salary,Extra_Compensation,Country,City,Overall_Experience,Field_Experience,Highest_Education,Gender,Race
Law,Office Manager,31254,0,USA,New York City,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Nonprofits,Consultant,101577,0,USA,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Woman,"Black or African American, White"
Engineering or Manufacturing,Validation engineer ,80480,8907,USA,Warren ,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Engineering or Manufacturing,Office Administrator ,45319,0,USA,Huntington Station ,8 - 10 years,2 - 4 years,College degree,Woman,White
Computing or Tech,AVP of Software Development,93763,23440,USA,Chicago,11 - 20 years,11 - 20 years,College degree,Man,White
Media & Digital,Digital Marketing Assistant,24000,0,UK,Yeovil,11 - 20 years,2 - 4 years,College degree,Woman,White
Recruitment or HR,Director of HR & Operations ,52351,7813,USA,Los Angeles,21 - 30 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Computing or Tech,Director of Education,160179,15627,USA,--,21 - 30 years,11 - 20 years,Master's degree,Man,White
Retail,E-Commerce Lister,19534,195,USA,Virginia Beach,5-7 years,1 year or less,High School,Non-binary,White
Education (Higher Education),Administrative Coordinator,33598,0,USA,Philadelphia,8 - 10 years,8 - 10 years,College degree,Woman,"Middle Eastern or Northern African, White"
Media & Digital,Assistant Film Editor,74229,19534,USA,San Francisco,5-7 years,5-7 years,College degree,Man,White
Computing or Tech,Engineering Manager,93763,0,USA,New Haven/Remote,8 - 10 years,5-7 years,Master's degree,Woman,White
Media & Digital,Principal Researcher,85949,7813,USA,Des Moines,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Utilities & Telecommunications,Engineer,78917,9376,USA,Chicago,5-7 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Staff accountant,74229,7813,USA,Boston,11 - 20 years,5-7 years,Master's degree,Man,White
Media & Digital,Web Producer,68759,68759,USA,San Francisco ,21 - 30 years,5-7 years,Some college,Woman,White
Computing or Tech,Senior Software Engineer,112516,0,USA,Austin,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
Computing or Tech,Senior Developer,165648,0,USA,new york,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,Managed Services Engineer,50788,2734,USA,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Jr. Member of Technical Staff,70904,0,USA,Cambridge,2 - 4 years,2 - 4 years,Master's degree,Man,White
Engineering or Manufacturing,Manufacturing Engineer,70322,2344,USA,Los Angeles,21 - 30 years,11 - 20 years,College degree,Man,White
Government and Public Administration,Equal Employment Specialist,106824,3906,USA,China Lake,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Government and Public Administration,Makerspace Technician,24222,0,USA,La Quinta,8 - 10 years,2 - 4 years,College degree,Non-binary,White
Computing or Tech,Producer,39007,0,Uganda,Edmonton,2 - 4 years,2 - 4 years,College degree,Woman,White
Art & Design,UX Designer,52742,2734,USA,Boston,11 - 20 years,11 - 20 years,High School,Man,White
Art & Design,Production Coordinator,32406,0,Uganda,Toronto,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,Software Engineer,124900,21096,USA,Seattle,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,Director of Operations,60868,0,USA,Seattle,8 - 10 years,5-7 years,College degree,Woman,White
Art & Design,Associate Creative Director ,65000,5000,UK,London,11 - 20 years,8 - 10 years,College degree,Man,White
Computing or Tech,VP Product Management,125018,273477,USA,Seattle,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Engineering or Manufacturing,Data Scientist,125018,15627,USA,Oakland,11 - 20 years,5-7 years,College degree,Man,Asian or Asian American
Computing or Tech,Senior Technical Writer,97329,40071,USA,Austin,8 - 10 years,2 - 4 years,College degree,Woman,White
Government and Public Administration,Budget Analyst ,66415,1953,USA,Salt Lake City,11 - 20 years,11 - 20 years,Some college,Woman,White
Engineering or Manufacturing,IT Manager,97670,19534,USA,Tulsa,11 - 20 years,11 - 20 years,Master's degree,Man,White
Computing or Tech,Engineering Manager,129706,0,USA,Cambridge,5-7 years,5-7 years,College degree,Man,Asian or Asian American
Entertainment,Studio/Touring Musician,12189,0,USA,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
Engineering or Manufacturing,Senior Demand Planner,72666,7266,USA,Portland,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Education (Primary/Secondary),Teacher,50788,0,USA,Houston,11 - 20 years,11 - 20 years,Master's degree,Non-binary,White
Nonprofits,Senior Salesforce Administrator,51569,4688,USA,Philadelphia,8 - 10 years,5-7 years,College degree,Woman,White
Education (Higher Education),Admission Counselor,41412,3906,USA,Manchester,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Retail,Customer success manager,40630,0,USA,Hadley,31 - 40 years,31 - 40 years,Some college,Woman,White
Health care,Autotransfusionist,28129,0,USA,Tucson,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
Nonprofits,Data Manager,68369,2344,USA,Washington,8 - 10 years,5-7 years,Master's degree,Woman,White
Nonprofits,"Production supervisor, Books",62509,390,USA,Washington,11 - 20 years,11 - 20 years,College degree,Man,White
Media & Digital,Senior producer,92200,46881,USA,Los Angeles,11 - 20 years,11 - 20 years,Some college,Woman,White
"Marketing, Advertising & PR",Social Media Manager ,46881,0,USA,New York,5-7 years,2 - 4 years,College degree,Woman,White
Government and Public Administration,Digital Media and Communications Coordinator ,40630,0,USA,Philadelphia ,8 - 10 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Corporate Banker,187527,78136,USA,San Francisco ,11 - 20 years,11 - 20 years,Master's degree,Woman,Black or African American
Engineering or Manufacturing,Principle Engineer,101577,15627,USA,Bath,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Law,Associate ,238315,70322,USA,Washington,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,Black or African American
Engineering or Manufacturing,Project manager,92200,15627,USA,NYC metro area,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Nonprofits,Chief Information Officer,105484,0,USA,Washington,21 - 30 years,21 - 30 years,College degree,Man,White
Computing or Tech,Senior Developer,40000,0,UK,Cheltenham,8 - 10 years,5-7 years,High School,Man,White
Social Work,Clinical Social Worker,39068,0,USA,Staunton,5-7 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Senior Software Engineer,93763,3906,USA,Pittsburgh,11 - 20 years,8 - 10 years,College degree,Woman,White
"Accounting, Banking & Finance",Corporate Development,144552,78136,USA,Houston Texas,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Software Development Engineer I,100014,28910,USA,Sumnyvale,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
"Marketing, Advertising & PR","Senior Manager, Marketing",58211,6001,Uganda,Vancouver,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,"Sr Manager, Data",109000,7813,USA,Seattle,11 - 20 years,8 - 10 years,College degree,Woman,White
Sales,Trade Development Coordinator,32406,3000,Uganda,"Vancouver, BC",5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Nonprofits,Resources Coordinator,46881,0,USA,"Remote, North Carolina",5-7 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
"Accounting, Banking & Finance",Manager,91217,43208,Uganda,Calgary,11 - 20 years,11 - 20 years,College degree,Woman,White
"Marketing, Advertising & PR",Brand Manager,70322,7813,USA,Frisco,8 - 10 years,5-7 years,Master's degree,Man,White
"Accounting, Banking & Finance",Accounting Manager,85168,3906,USA,Seattle,8 - 10 years,8 - 10 years,Master's degree,Woman,Asian or Asian American
Computing or Tech,Principal Software Engineer,132831,23440,USA,Boulder,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,Head Of Software Engineering,80000,8000,Spain,Las Palmas,11 - 20 years,11 - 20 years,High School,Man,White
"Marketing, Advertising & PR","Go, director of creative technology ",109390,0,USA,Boston,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,Data Analyst,54695,0,USA,Dallas,8 - 10 years,8 - 10 years,High School,Man,"Hispanic, Latino, or Spanish origin"
Computing or Tech,Data Insights Analyst,76573,0,USA,Detroit,8 - 10 years,2 - 4 years,Master's degree,Man,White
Computing or Tech,Senior Project Manager,97670,23440,USA,Washington,5-7 years,5-7 years,College degree,Woman,White
Transport or Logistics,Customer service,35161,2344,USA,Alpharetta,31 - 40 years,31 - 40 years,Some college,Woman,White
Nonprofits,Data & Evaluation Specialist,46881,0,USA,Boston,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Head of Policy and Research,61000,0,UK,Cheltenham,21 - 30 years,21 - 30 years,Master's degree,Man,White
Health care,Practice Manager,60946,3906,USA,Rockville Centre,11 - 20 years,11 - 20 years,Some college,Woman,White
Computing or Tech,Strategic partnership manager,96889,7813,USA,Newark,11 - 20 years,11 - 20 years,College degree,Man,Black or African American
Education (Higher Education),Accounting Analyst ,45319,0,USA,Bloomington ,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,Real Estate Project Manager,88294,31254,USA,Bellevue,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Engineering or Manufacturing,-,34129,0,USA,Keene,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Education (Higher Education),Archivist,60761,0,Uganda,Can't say without losing my anonymity,8 - 10 years,5-7 years,Master's degree,Woman,White
Utilities & Telecommunications,Energy Analyst,60164,3906,USA,Los Angeles,2 - 4 years,2 - 4 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Communications Manager,56648,0,USA,Vancouver,11 - 20 years,2 - 4 years,College degree,Man,White
Computing or Tech,Developer,75010,0,USA,New York City,11 - 20 years,2 - 4 years,College degree,Man,White
Health care,Office Manager,25784,0,USA,Columbia,5-7 years,2 - 4 years,College degree,Woman,Black or African American
"Accounting, Banking & Finance",Junior Risk Manager,70322,11720,USA,Denver,2 - 4 years,2 - 4 years,College degree,Woman,White
Engineering or Manufacturing,-,34129,0,USA,Keene,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Director of Global SEO,144552,27347,USA,Remote - ,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Computing or Tech,Software Engineer,78823,0,USA,Washington,8 - 10 years,2 - 4 years,College degree,Woman,Black or African American
Government and Public Administration,Investigator,32035,0,USA,Indianapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
Health care,Director rehabilitation ,73838,0,USA,Fort Lauderdale ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
"Accounting, Banking & Finance",Corporate strategy,112516,11720,USA,New york,8 - 10 years,2 - 4 years,Master's degree,Woman,White
Engineering or Manufacturing,Senior Engineer,78136,0,USA,"Jackson, MI",5-7 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Vice President,105484,46881,USA,San Francisco,8 - 10 years,2 - 4 years,College degree,Man,White
Recruitment or HR,Human Resources Coordinator,34206,3000,Uganda,Brampton,2 - 4 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Controller,64462,0,USA,Indianapolis,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Entertainment,Games Specialist,31,1722,Ireland,Galway,8 - 10 years,5-7 years,Master's degree,Woman,White
Computing or Tech,Product Owner ,50788,4688,USA,Bethlehem ,11 - 20 years,1 year or less,College degree,Woman,White
Computing or Tech,Senior Engineer,75014,0,Uganda,Vancouver,21 - 30 years,21 - 30 years,College degree,Woman,White
Computing or Tech,Senior Software Engineer,112672,0,USA,San Francisco,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
Health care,Lead Dental Assistant ,39068,11720,USA,Naples ,11 - 20 years,5-7 years,Some college,Woman,Black or African American
"Marketing, Advertising & PR",Digital Campaign Consultant,39068,3125,USA,Trenton,11 - 20 years,2 - 4 years,College degree,Woman,White
"Marketing, Advertising & PR",Manager of Client Services,62509,17189,USA,Portland,8 - 10 years,2 - 4 years,College degree,Man,White
Business or Consulting,Manager,135175,11720,USA,"Washington, DC",8 - 10 years,5-7 years,Master's degree,Woman,White
Engineering or Manufacturing,Marketing Assistant,44693,4688,USA,Los Angeles,2 - 4 years,1 year or less,Some college,Woman,Asian or Asian American
Computing or Tech,Associate Software Engineer,73448,0,USA,Portland,11 - 20 years,8 - 10 years,Some college,Woman,White
Business or Consulting,COO,101577,0,USA,Cincinnati ,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Nonprofits,Vice President,92200,0,USA,Boston,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Computing or Tech,Product manager,113297,6250,USA,Wilmington,8 - 10 years,2 - 4 years,PhD,Woman,White
Government and Public Administration,Program specialist II,34060,0,USA,Greensboro ,8 - 10 years,5-7 years,College degree,Woman,"Black or African American, White"
Education (Primary/Secondary),English Teacher,42974,0,USA,Prospect Park,5-7 years,1 year or less,Master's degree,Woman,White
Health care,Medical Interpreter,35755,0,USA,Lexington ,21 - 30 years,2 - 4 years,College degree,Woman,White
Health care,Senior Project Manager,93763,14064,USA,Denver,5-7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
Law,Staff Attorney ,40630,0,USA,Nevada,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
Law,Trademark Paralegal,61727,3906,USA,Trenton,21 - 30 years,11 - 20 years,Some college,Man,White
Engineering or Manufacturing,Project Manager,70322,4688,USA,San Francisco,5-7 years,5-7 years,Master's degree,Woman,White
Hospitality & Events,Event Manager,35161,0,USA,Durham,5-7 years,2 - 4 years,College degree,Woman,White
Government and Public Administration,Fiscal Services Supervisor,38667,0,USA,Eureka,5-7 years,2 - 4 years,College degree,Woman,"Black or African American, White"
Computing or Tech,Senior Vice President,118767,0,USA,Charleston,21 - 30 years,21 - 30 years,Some college,Man,White
Government and Public Administration,Program Manager,64689,0,Australia,Adelaide,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Nonprofits,Senior Program Director,101577,0,USA,Los Angeles,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Computing or Tech,Vice President Marketing,203154,0,USA,Seattle,21 - 30 years,21 - 30 years,Master's degree,Man,White
"Accounting, Banking & Finance",Senior Financial Analyst,117204,0,USA,New York,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
Computing or Tech,Software Engineer,147677,0,USA,San Francisco,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American
Computing or Tech,Senior Software Engineering Manager,132831,2344,USA,Irvine,8 - 10 years,8 - 10 years,College degree,Woman,White
Hospitality & Events,Culinary Lead for North America,62509,0,USA,Oakland,11 - 20 years,11 - 20 years,College degree,Woman,White
Retail,Sr Fraud Data Analyst,41412,2344,USA,Oakbrook,8 - 10 years,8 - 10 years,College degree,Woman,White
Engineering or Manufacturing,Engineer III,84387,0,USA,San Diego,11 - 20 years,8 - 10 years,Master's degree,Non-binary,White
Health care,Research Project manager,56805,0,USA,Boston,21 - 30 years,21 - 30 years,College degree,Man,White
Government and Public Administration,Compliance Manager,67978,1562,USA,Phoenix,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Health care,clinical Registered Dietitian ,41412,0,USA,Henderson,21 - 30 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Staff Technical Writer,127225,30005,Uganda,"Victoria, BC",21 - 30 years,11 - 20 years,Master's degree,Non-binary,White
Utilities & Telecommunications,Senior program manager ,91419,10939,USA,Dallas,5-7 years,5-7 years,College degree,Woman,"Middle Eastern or Northern African, White"
Computing or Tech,Support Analyst,37380,0,USA,Ankeny,11 - 20 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Financial Planner,54695,15627,USA,Morgantown ,8 - 10 years,5-7 years,College degree,Man,White
Transport or Logistics,Warehouse Manager ,39005,2344,USA,Saint Louis,11 - 20 years,11 - 20 years,High School,Man,White
Retail,Cashier ,15627,0,USA,Edgewood ,1 year or less,1 year or less,High School,Woman,Black or African American
"Accounting, Banking & Finance",Associate,43756,0,USA,Los Angeles,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
Art & Design,Membership and Development Coordinator,31254,0,USA,Pittsburgh,2 - 4 years,1 year or less,Master's degree,Man,White
Computing or Tech,User Experience Researcher,114860,18752,USA,San Francisco,5-7 years,2 - 4 years,PhD,Woman,White
Nonprofits,Program Coordinator,31254,312,USA,Houston,2 - 4 years,2 - 4 years,College degree,Non-binary,White
Education (Higher Education),Director of Human Resources,45522,0,USA,Cleveland,21 - 30 years,5-7 years,Master's degree,Woman,White
Computing or Tech,python developer,77510,0,Netherlands,amsterdam,8 - 10 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
Nonprofits,Associate Membership Director,34145,0,USA,Needham,5-7 years,5-7 years,College degree,Woman,White
Education (Higher Education),ESL Teacher,45008,0,Uganda,Ottawa/Gatineau,8 - 10 years,5-7 years,College degree,Woman,Black or African American
Engineering or Manufacturing,Systems Engineer 2,75792,3906,USA,Denver,2 - 4 years,2 - 4 years,College degree,Woman,Middle Eastern or Northern African
Computing or Tech,Software Architect,14064,0,USA,Seattle Area,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,Consultant/Trainer,203154,0,USA,Raleigh,31 - 40 years,21 - 30 years,Master's degree,Woman,White
Computing or Tech,Support Engineer,61727,7813,USA,Portland,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,Group Software Architect,156272,15627,USA,New York,11 - 20 years,11 - 20 years,College degree,Man,White
Computing or Tech,Content Designer / UX Writer,102108,0,USA,New York,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
Retail,Barista,18224,0,Uganda,Vancouver,5-7 years,1 year or less,Some college,Non-binary,White
"Accounting, Banking & Finance",Analyst,70322,0,USA,New York,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
Government and Public Administration,Payment Services Officer,32406,0,Uganda,Winnipeg,1 year or less,1 year or less,College degree,Woman,White
Health care,Senior Financial Analyst ,63290,0,USA,Little Rock ,8 - 10 years,8 - 10 years,College degree,Woman,White
Nonprofits,Program manager,27347,156,USA,Greensboro ,5-7 years,5-7 years,College degree,Woman,"Black or African American, White"
Engineering or Manufacturing,Civil Engineer,56258,0,USA,Salt Lake City ,2 - 4 years,2 - 4 years,Master's degree,Man,White
Computing or Tech,Engineering Manager,69000,6000,UK,Brighton,21 - 30 years,21 - 30 years,Master's degree,Woman,White
Education (Higher Education),Digital Communications and Web Manager,58992,0,USA,Cambridge,8 - 10 years,8 - 10 years,Master's degree,Woman,"Asian or Asian American, White"
Computing or Tech,Senior Software Engineer,111734,7813,USA,Denver ,21 - 30 years,11 - 20 years,PhD,Man,"Black or African American, Hispanic, Latino, or Spanish origin, White"
Business or Consulting,Proposal coordinator,53132,1406,USA,Houston,8 - 10 years,5-7 years,College degree,Woman,White
Law,Senior Associate ,71885,7813,USA,Houston,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
Government and Public Administration,Sustainability Analyst ,46255,0,Uganda,Victoria,5-7 years,2 - 4 years,College degree,Woman,White
Health care,Biomedical engineering technologist,39007,4800,Uganda,Calgary,2 - 4 years,2 - 4 years,College degree,Man,White
Art & Design,Senior Art Director Design,74229,3906,USA,Brooklyn,8 - 10 years,5-7 years,Some college,Man,White
Nonprofits,Development Director,48835,273,USA,Los Angeles,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
Computing or Tech,Frontend Web Developer,34000,0,UK,Edinburgh,8 - 10 years,5-7 years,Some college,Man,White
Computing or Tech,Product Support Manager,53523,0,USA,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White
Education (Higher Education),Project Manaager,78136,0,USA,San Francisco,11 - 20 years,8 - 10 years,College degree,Woman,White
Education (Higher Education),Professor,48444,19534,USA,Milwaukee,31 - 40 years,21 - 30 years,PhD,Woman,White
Engineering or Manufacturing,Fluvial geomorphologist (Staff 1),45319,0,USA,Tacoma,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
Education (Primary/Secondary),Preschool Center aid,17189,0,USA,Bangor ,8 - 10 years,2 - 4 years,High School,Woman,White
Computing or Tech,Aerospace Engineer,86340,1562,USA,Austin,5-7 years,5-7 years,College degree,Man,White
Law,Partner,89856,50788,USA,Naperville ,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
"Marketing, Advertising & PR",Brand Marketing Manager,72432,4375,USA,Mountainview,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
Media & Digital,Head of Digital,76750,0,Australia,Brisbane,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Computing or Tech,Executive Assistant,58602,4688,USA,Seattle,5-7 years,2 - 4 years,Master's degree,Woman,White
Law,Attorney,175806,0,USA,Small City,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Computing or Tech,Director of Community and Support,148458,0,USA,Denver,21 - 30 years,21 - 30 years,College degree,Man,White
"Marketing, Advertising & PR",Social media and content marketing manager,50000,0,UK,London,21 - 30 years,11 - 20 years,Some college,Woman,White
Property or Construction,Director of Property Management,35161,0,USA,New Orleans,8 - 10 years,2 - 4 years,College degree,Woman,White
Insurance,Insurance Fraud Analyst,74229,0,USA,Remote ,11 - 20 years,11 - 20 years,Some college,Woman,White
Recruitment or HR,Human Resources Assistant,35161,0,USA,Raleigh,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Senior Field Specialist,167993,74229,USA,Austin,21 - 30 years,21 - 30 years,Some college,Man,White
Business or Consulting,Recruiter,55789,0,USA,Saint Petersburg ,2 - 4 years,2 - 4 years,College degree,Woman,White
Retail,photographer,35942,0,USA,lynnwood,21 - 30 years,11 - 20 years,College degree,Woman,White
Law,Attorney,118909,0,USA,Sacramento ,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Education (Primary/Secondary),PeopleSoft developer,93763,0,USA,Sugar land,31 - 40 years,31 - 40 years,College degree,Woman,White
Media & Digital,Local Newspaper Reporter,35161,0,USA,Long Beach,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
"Marketing, Advertising & PR",Social Media Manager ,40808,6001,Uganda,Toronto,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
"Marketing, Advertising & PR",Program manager,123455,21878,USA,New york,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
Transport or Logistics,Air traffic controller ,73057,11720,USA,Wichita,2 - 4 years,2 - 4 years,College degree,Woman,White
Social Work,dependency case manager ,32817,0,USA,Winter Haven,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, Native American or Alaska Native, White"
Nonprofits,Director of Finance and Operations,55476,0,USA,New York City,5-7 years,5-7 years,College degree,Non-binary,White
Computing or Tech,Research Scientist 3,107828,0,USA,San Francisco,2 - 4 years,2 - 4 years,Master's degree,Man,Asian or Asian American
Computing or Tech,Senior Application Developer,131268,0,USA,New York,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
Law,Media Attorney,78136,0,USA,New York,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin"
Education (Higher Education),Archivist/Records Manager,42974,0,USA,Philadelphia,8 - 10 years,5-7 years,Master's degree,Woman,"Native American or Alaska Native, White"
Government and Public Administration,Analyst,127362,1562,USA,"Northern Virginia (Washington, DC metro)",11 - 20 years,11 - 20 years,PhD,Man,White
Computing or Tech,Implementation Consultant,72666,0,USA,Chicago,5-7 years,5-7 years,College degree,Woman,White
Business or Consulting,Operations Consultant,82043,0,USA,Bay Area,8 - 10 years,8 - 10 years,College degree,Woman,Black or African American
Computing or Tech,Software Developer,113297,7813,USA,San Francisco,11 - 20 years,2 - 4 years,Master's degree,Man,White
Computing or Tech,Full Stack Developer,114497,2344,USA,Wichita,11 - 20 years,11 - 20 years,College degree,Man,White
"Marketing, Advertising & PR","Associate Manager, Global Brand Marketing",90638,7032,USA,Los Angeles,5-7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
Transport or Logistics,Customer Account Manager,54695,0,USA,Atlanta,5-7 years,5-7 years,College degree,Woman,White
Education (Higher Education),Research Assistant,37463,0,USA,College Park,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Senior Software Engineer,230502,0,USA,Irvine,41 years or more,41 years or more,Master's degree,Man,White
Computing or Tech,Senior Software Engineer,230502,0,USA,San Francisco,5-7 years,5-7 years,College degree,Man,White
Business or Consulting,IO Psychologist,70322,0,USA,DC,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
Computing or Tech,Technical Support,51569,0,USA,Madison,1 year or less,1 year or less,College degree,Woman,Black or African American
Health care,"Senior Director, Professional Services",111500,11720,USA,Bethesda,11 - 20 years,5-7 years,Master's degree,Woman,White
Health care,Radiologic Technologists ,27347,0,USA,Olathe,11 - 20 years,5-7 years,College degree,Woman,Asian or Asian American
Property or Construction,Program manager,109390,7813,USA,Los Angeles,31 - 40 years,31 - 40 years,College degree,Man,White
Nonprofits,Programs manager,58602,0,USA,New York,11 - 20 years,11 - 20 years,College degree,Woman,White
Health care,RN,49225,3906,USA,Scottsdale,11 - 20 years,5-7 years,College degree,Woman,White
Health care,Pharmacy tech ,28129,0,USA,Cleveland ,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American
Computing or Tech,Customer Success Engagement Manager,45709,0,USA,Redding,2 - 4 years,2 - 4 years,College degree,Woman,White
Computing or Tech,Community Manager,70322,7813,USA,Irvine,8 - 10 years,5-7 years,Some college,Non-binary,White
Utilities & Telecommunications,GIS Team Lead,63290,0,USA,Portland ,5-7 years,5-7 years,College degree,Woman,White
Education (Primary/Secondary),Educator,46881,0,USA,Alamogordo,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Government and Public Administration,Attorney ,91419,0,USA,Rockville ,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
Engineering or Manufacturing,Advanced Lead Engineer,80480,0,USA,Erie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Entertainment,VP Finance,117204,15627,USA,Los Angeles,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
Computing or Tech,Principal Software Engineer,160179,0,USA,Portland,8 - 10 years,8 - 10 years,Master's degree,Man,White
Health care,Physician,195340,0,USA,Portland,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Social Work,Medical Social Worker,41412,0,USA,Tulsa,2 - 4 years,5-7 years,Master's degree,Woman,White
Retail,photo studio coordinator,25003,0,USA,"Seattle, wa",11 - 20 years,5-7 years,High School,Woman,"Asian or Asian American, White"
Law,Associate Attorney,62509,3906,USA,Indianapolis,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,"Asian or Asian American, White"
Education (Higher Education),Visiting Assistant Professor,54773,0,USA,Davis,5-7 years,5-7 years,PhD,Woman,"Native American or Alaska Native, White"
Education (Higher Education),Associate Professor of Political Science,71104,0,USA,small college town,11 - 20 years,8 - 10 years,PhD,Woman,White
Computing or Tech,Lead Recruiting Coordinator,72666,0,USA,San Francisco,11 - 20 years,5-7 years,College degree,Woman,White
Computing or Tech,Lead Site Reliability Engineer,119001,17971,USA,"Watertown, MA",11 - 20 years,8 - 10 years,Some college,Man,White
Education (Higher Education),Administrative Assistant,31254,0,USA,Phoenix,5-7 years,5-7 years,College degree,Woman,White
Nonprofits,Executive Assistant / Membership & Events Coordinator ,42974,781,USA,Fairfield ,11 - 20 years,2 - 4 years,College degree,Woman,White
Engineering or Manufacturing,Optical Engineer,72666,1562,USA,Philadelphia ,8 - 10 years,8 - 10 years,Master's degree,Woman,White
